t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y
315.52961349487305,0.9610913005098215,0.0,0.0,1.1225640762341463e-10,0.0,0.0,-22.20999999637432,0.0,0.0,1.0,0.0
315.53984093666077,0.9610913005109414,0.0,0.0,1.1172837789018713e-10,0.0,0.0,-22.20999999637432,0.0,0.0,1.0,0.0
315.5496563911438,0.9610913005120559,0.0,0.0,1.111927854047922e-10,0.0,0.0,-22.20999999640866,0.0,0.0,1.0,0.0
315.55997490882874,0.9610913005131653,0.0,0.0,1.1066976708768339e-10,0.0,0.0,-22.20999999640866,0.0,0.0,1.0,0.0
315.5697259902954,0.9610913005142693,0.0,0.0,1.10139237567586e-10,0.0,0.0,-22.209999996442704,0.0,0.0,1.0,0.0
315.57974648475647,0.9610913005153681,0.0,0.0,1.096211641402907e-10,0.0,0.0,-22.209999996442704,0.0,0.0,1.0,0.0
315.5895471572876,0.9610913005164616,0.0,0.0,1.0909566345157514e-10,0.0,0.0,-22.209999996476405,0.0,0.0,1.0,0.0
315.59989953041077,0.96109130051755,0.0,0.0,1.0858250252170395e-10,0.0,0.0,-22.209999996476405,0.0,0.0,1.0,0.0
315.6096374988556,0.9610913005186332,0.0,0.0,1.0806198329485449e-10,0.0,0.0,-22.20999999650979,0.0,0.0,1.0,0.0
315.61973810195923,0.9610913005197113,0.0,0.0,1.0755368505475484e-10,0.0,0.0,-22.20999999650979,0.0,0.0,1.0,0.0
315.6297252178192,0.9610913005207842,0.0,0.0,1.0703809330245576e-10,0.0,0.0,-22.209999996542866,0.0,0.0,1.0,0.0
315.63976860046387,0.961091300521852,0.0,0.0,1.0653460794447509e-10,0.0,0.0,-22.209999996542866,0.0,0.0,1.0,0.0
315.649795293808,0.9610913005229148,0.0,0.0,1.0602391266755804e-10,0.0,0.0,-22.209999996575604,0.0,0.0,1.0,0.0
315.66039276123047,0.9610913005239725,0.0,0.0,1.0552520779930694e-10,0.0,0.0,-22.209999996575604,0.0,0.0,1.0,0.0
315.6698260307312,0.9610913005250252,0.0,0.0,1.0501933689858254e-10,0.0,0.0,-22.209999996608076,0.0,0.0,1.0,0.0
315.67972230911255,0.961091300526073,0.0,0.0,1.0452534181409268e-10,0.0,0.0,-22.209999996608076,0.0,0.0,1.0,0.0
315.6896433830261,0.9610913005271157,0.0,0.0,1.0402426359378203e-10,0.0,0.0,-22.209999996640214,0.0,0.0,1.0,0.0
315.69973492622375,0.9610913005281535,0.0,0.0,1.0353495042863241e-10,0.0,0.0,-22.209999996640214,0.0,0.0,1.0,0.0
315.70974111557007,0.9610913005291863,0.0,0.0,1.030386091598935e-10,0.0,0.0,-22.209999996672064,0.0,0.0,1.0,0.0
315.71979546546936,0.9610913005302143,0.0,0.0,1.0255392288185262e-10,0.0,0.0,-22.209999996672064,0.0,0.0,1.0,0.0
315.72961235046387,0.9610913005312374,0.0,0.0,1.0206229766636968e-10,0.0,0.0,-22.209999996703576,0.0,0.0,1.0,0.0
315.73970675468445,0.9610913005322556,0.0,0.0,1.0158221493898495e-10,0.0,0.0,-22.209999996703576,0.0,0.0,1.0,0.0
315.7497639656067,0.961091300533269,0.0,0.0,1.0109525457588439e-10,0.0,0.0,-22.2099999967348,0.0,0.0,1.0,0.0
315.75969099998474,0.9610913005342775,0.0,0.0,1.0061972559150326e-10,0.0,0.0,-22.2099999967348,0.0,0.0,1.0,0.0
315.7696063518524,0.9610913005352812,0.0,0.0,1.0013737435194304e-10,0.0,0.0,-22.209999996765745,0.0,0.0,1.0,0.0
315.7795913219452,0.9610913005362802,0.0,0.0,9.966634999952347e-11,0.0,0.0,-22.209999996765745,0.0,0.0,1.0,0.0
315.78963351249695,0.9610913005372745,0.0,0.0,9.91885734012826e-11,0.0,0.0,-22.209999996796384,0.0,0.0,1.0,0.0
315.7997226715088,0.9610913005382641,0.0,0.0,9.87220153672457e-11,0.0,0.0,-22.209999996796384,0.0,0.0,1.0,0.0
315.80972123146057,0.961091300539249,0.0,0.0,9.82487489738506e-11,0.0,0.0,-22.209999996826767,0.0,0.0,1.0,0.0
315.81964206695557,0.9610913005402292,0.0,0.0,9.778659386663857e-11,0.0,0.0,-22.209999996826767,0.0,0.0,1.0,0.0
315.82945561408997,0.9610913005412047,0.0,0.0,9.731780145434191e-11,0.0,0.0,-22.20999999685685,0.0,0.0,1.0,0.0
315.8396201133728,0.9610913005421756,0.0,0.0,9.686001583664955e-11,0.0,0.0,-22.20999999685685,0.0,0.0,1.0,0.0
315.84984946250916,0.961091300543142,0.0,0.0,9.641297891936187e-11,0.0,0.0,-22.209999996886623,0.0,0.0,1.0,0.0
315.85961055755615,0.9610913005441039,0.0,0.0,9.595913054435825e-11,0.0,0.0,-22.209999996886623,0.0,0.0,1.0,0.0
315.8694956302643,0.9610913005450611,0.0,0.0,9.549155267251238e-11,0.0,0.0,-22.209999996928573,0.0,0.0,1.0,0.0
315.87951159477234,0.9610913005460137,0.0,0.0,9.503495373084979e-11,0.0,0.0,-22.209999996928573,0.0,0.0,1.0,0.0
315.88954281806946,0.9610913005469617,0.0,0.0,9.45784899316291e-11,0.0,0.0,-22.20999999694678,0.0,0.0,1.0,0.0
315.8995831012726,0.9610913005479053,0.0,0.0,9.41327448785605e-11,0.0,0.0,-22.20999999694678,0.0,0.0,1.0,0.0
315.9096574783325,0.9610913005488443,0.0,0.0,9.368138444804784e-11,0.0,0.0,-22.209999996974442,0.0,0.0,1.0,0.0
315.91947960853577,0.9610913005497789,0.0,0.0,9.324062294667692e-11,0.0,0.0,-22.209999996974442,0.0,0.0,1.0,0.0
315.9296364784241,0.961091300550709,0.0,0.0,9.279363688195759e-11,0.0,0.0,-22.20999999700295,0.0,0.0,1.0,0.0
