t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y
49.05965995788574,0.9003262246009988,0.0,0.0,-8.104731057175077e-05,0.0,0.0,-2.8461145334717366,0.0,0.0,0.3,0.0
49.069594621658325,0.9003254150086566,0.0,0.0,-8.087141551557304e-05,0.0,0.0,-2.846110466604233,0.0,0.0,0.3,0.0
49.07961964607239,0.900324607167558,0.0,0.0,-8.069705959039119e-05,0.0,0.0,-2.846110466604233,0.0,0.0,0.3,0.0
49.08953785896301,0.9003238010742577,0.0,0.0,-8.052185711663873e-05,0.0,0.0,-2.8461064160978937,0.0,0.0,0.3,0.0
49.099578857421875,0.9003229967253055,0.0,0.0,-8.034818771229346e-05,0.0,0.0,-2.8461064160978937,0.0,0.0,0.3,0.0
49.10955834388733,0.9003221941172685,0.0,0.0,-8.01736752972811e-05,0.0,0.0,-2.8461023818919298,0.0,0.0,0.3,0.0
49.11953806877136,0.9003213932467095,0.0,0.0,-8.000068991218564e-05,0.0,0.0,-2.8461023818919298,0.0,0.0,0.3,0.0
49.129605293273926,0.9003205941102078,0.0,0.0,-7.982686504075421e-05,0.0,0.0,-2.8460983639257647,0.0,0.0,0.3,0.0
49.139609575271606,0.9003197967043387,0.0,0.0,-7.965456118177295e-05,0.0,0.0,-2.8460983639257647,0.0,0.0,0.3,0.0
49.14956307411194,0.9003190010256942,0.0,0.0,-7.948142134726445e-05,0.0,0.0,-2.8460943621390333,0.0,0.0,0.3,0.0
49.15960907936096,0.9003182070708617,0.0,0.0,-7.930979652968822e-05,0.0,0.0,-2.8460943621390333,0.0,0.0,0.3,0.0
49.169509410858154,0.900317414836446,0.0,0.0,-7.913733923385074e-05,0.0,0.0,-2.8460903764714622,0.0,0.0,0.3,0.0
49.17976713180542,0.9003166243190469,0.0,0.0,-7.896639098130307e-05,0.0,0.0,-2.8460903764714622,0.0,0.0,0.3,0.0
49.19022035598755,0.9003158355152814,0.0,0.0,-7.87946137343735e-05,0.0,0.0,-2.8460864068631695,0.0,0.0,0.3,0.0
49.20023846626282,0.9003150484217619,0.0,0.0,-7.862433957889242e-05,0.0,0.0,-2.8460864068631695,0.0,0.0,0.3,0.0
49.2102997303009,0.9003142630351176,0.0,0.0,-7.845323989953596e-05,0.0,0.0,-2.8460824532544224,0.0,0.0,0.3,0.0
49.220293045043945,0.9003134793519734,0.0,0.0,-7.82836373815134e-05,0.0,0.0,-2.8460824532544224,0.0,0.0,0.3,0.0
49.230366945266724,0.9003126973689707,0.0,0.0,-7.811321279676243e-05,0.0,0.0,-2.846078515585636,0.0,0.0,0.3,0.0
49.240426778793335,0.9003119170827466,0.0,0.0,-7.794427946488446e-05,0.0,0.0,-2.846078515585636,0.0,0.0,0.3,0.0
49.25043177604675,0.900311138489955,0.0,0.0,-7.777452751014812e-05,0.0,0.0,-2.84607459379749,0.0,0.0,0.3,0.0
49.260401248931885,0.9003103615872452,0.0,0.0,-7.760626092140438e-05,0.0,0.0,-2.84607459379749,0.0,0.0,0.3,0.0
49.27040123939514,0.9003095863712832,0.0,0.0,-7.743717914040749e-05,0.0,0.0,-2.84607068783081,0.0,0.0,0.3,0.0
49.28044605255127,0.9003088128387308,0.0,0.0,-7.726957686002978e-05,0.0,0.0,-2.84607068783081,0.0,0.0,0.3,0.0
49.29052686691284,0.9003080409862659,0.0,0.0,-7.710116280482349e-05,0.0,0.0,-2.8460667976266887,0.0,0.0,0.3,0.0
49.300408601760864,0.9003072708105625,0.0,0.0,-7.69342224062976e-05,0.0,0.0,-2.8460667976266887,0.0,0.0,0.3,0.0
49.31056571006775,0.9003065023083109,0.0,0.0,-7.676647363719601e-05,0.0,0.0,-2.8460629231263566,0.0,0.0,0.3,0.0
49.320343255996704,0.9003057354761971,0.0,0.0,-7.660019270219801e-05,0.0,0.0,-2.8460629231263566,0.0,0.0,0.3,0.0
